"","created_time","snippet","headline","wordcount","section"
"1","2004-12-28T05:00:00+0000","Relief organizations from around the globe struggle to deploy emergency supplies and personnel to South Asia, even as list of communities scarred by the disaster continues to balloon; aid officials say they have never before been asked to respond ...","Aid Agencies Go to Work as Tasks Continue to Mount",1139,"World"
"2","2004-12-19T05:00:00+0000","Datebook column on winter events scheduled for Copenhagen, Elko, Nev, and Whistler, British Columbia; photos (M)","Datebook",474,"Travel"
"3","2004-11-25T05:00:00+0000","US and seven other countries with Arctic territory express concern about profound changes in Arctic climate and say they will consider new scientific findings concluding that heat-trapping emissions are main cause; joint statement, which emerges a...","Arctic Countries Agree on Perils of Climate Change but Not Solution",431,"World"
"4","2004-11-23T05:00:00+0000","There is long tradition of artists and scientists working together to produce accurate and useful representations of nature despite impression that art and science are contradictory disciplines; printmaker Joseph Scheer, who recently exhibited lar...","The Face of Nature Changes as Art and Science Evolve",1746,"Books"
"5","2004-11-21T05:00:00+0000","Ken Chowder travel article on Copenhagen, Denmark; photos; map (special section, The Sophisticated Traveler) (part 2 of 2-part section) (L)","Copenhagen",2372,"Magazine"
"6","2004-10-15T05:00:00+0000","Saga Furs in Vedbaek, Denmark, responds to slumping sales by offering workshop where high-end designers can learn to work with furs in imaginative new ways; photos; map (Vedbaek Journal) (M)","'New Fur' Doesn't Look as if It Ever Kept a Mink Warm",1027,"World"
"7","2004-10-14T05:00:00+0000","Reports by World Economic Forum and World Bank show Nordic countries dominate top ranks of lists of most competitive economies in world and best places to do business; World Economic Forum survey shows Finland is world's most competitive economy, ...","Nordic Countries Come Out Near the Top in Two Business Surveys",539,"Business Day"
"8","2004-10-05T05:00:00+0000","Denmark's Science Minister Helge Sander announces $25 million expedition to explore geological case for Denmark to claim North Pole; Russia, Canada, Norway and United States all have potential claims on region (S)","World Briefing | Europe: Denmark: Move To Claim North Pole",79,"U.S."
"9","2004-10-10T05:00:00+0000","Denmark hopes to prove that Greenland, its northernmost territory, and North Pole are linked by underwater mountain range called Lomonosov Ridge; other claimants to Arctic area include Russia, Norway and Canada; US also may make claim; hundreds of...","Jockeying for Pole Position",570,"Week in Review"
"10","2004-10-08T05:00:00+0000","Denmark's Law on Personal Names is designed to protect children from being burdened by preposterous or silly names; under law, choosing first and last name for child is subject to approval by Ministry of Ecclesiastical Affairs and Ministry of Fami...","Jens and Vita, but Molli? Danes Favor Common Names",1147,"World"
"11","2004-09-30T05:00:00+0000","Sperm banking has become powerhouse industry in Denmark because it has high success rate in producing offspring, because its secular and sexually liberal culture holds uncomplicated view of sperm donation and its laws continue to protect donor's a...","Spreading Scandinavian Genes, Without Viking Boats",1194,"World"
