"","created_time","snippet","headline","wordcount","section"
"1","2010-12-29T14:16:06+0000","Officials said that an attack against a Danish newspaper that published cartoons of Muhammad was “imminent.”","Police Arrest 5 in Danish Terror Plot",570,"World"
"2","2010-12-31T02:38:37+0000","Three men arrested in Denmark on suspicion of planning an imminent attack appeared in court on terrorism and weapons charges in Copenhagen on Thursday.","Denmark: Suspects in Plot Against Paper Face Charges",94,"World"
"3","2010-12-30T10:15:20+0000","Three men arrested in Denmark on suspicion of planning to attack a newspaper that had published satirical cartoons of the Prophet Muhammad pleaded not guilty.","Terror Suspects Appear in Danish Court",622,"World"
"4","2010-12-23T17:06:57+0000","A photographer reflects on police orders to beat the press along with demonstrators at climate talks a year ago.","A Photographer Reflects on Press Beatings at Climate Talks",661,"Opinion"
"5","2010-12-03T16:16:08+0000","In a videotaped message to fellow climate skeptics in Cancún, the senator raise questions about both the science of global warming and the international process for trying to combat it.","Senator Inhofe: ‘I Was Right and They Were Wrong’",975,"Science"
"6","2010-11-30T00:44:58+0000","After last year’s Copenhagen conference failed to produce agreement on climate change, hopes are that small steps can be made in Mexico.","Global Climate Change Talks Begin in Cancún",1036,"Science"
"7","2010-11-16T17:31:00+0000","Two bakery chains, Lagkagehuset and Emmerys, have grown rapidly in these hard economic times.","Danish Bakery Chains Turn Carbohydrates to Gold",979,"Business Day"
"8","2010-11-19T22:50:45+0000","A team of scientists from the Czech Republic and Denmark exhumed the body of Tycho Brahe, the astronomer revered in both countries whose death remains a mystery.","After 400 Years, Still Hot on the Trail",977,"World"
"9","2010-10-26T09:25:00+0000","Denmark, New Zealand and Singapore are seen as having the world’s cleanest governments, while Somalia, Myanmar and Afghanistan are the most corrupt, a survey said.","U.S. Falls in Annual Corruption Survey",554,"Business Day"
"10","2010-10-08T00:36:39+0000","There is no chance of completing a treaty to reduce emissions, few heads of state are planning to attend, and there are no major new initiatives on the agenda.","Poor Prospects for New Climate Meeting",1130,"World"
"11","2010-10-03T15:26:09+0000","U.N. climate talks in Tianjin, China, could help prepare for more discussions in Mexico at the end of the year.","Getting Past the Politics of Climate Change",907,"Business Day"
"12","2010-09-22T20:58:17+0000","Hiddensee Island, about five hours from Berlin, has become a popular escape for city dwellers and remains largely undiscovered by foreign tourists.","Near Berlin, a Refuge From Modern Life",1656,"Travel"
"13","2010-09-22T20:45:58+0000","America’s top climate negotiator makes it clear nobody should wait around for a legally binding climate treaty.","Get Used to ‘Soft’ Climate Diplomacy",755,"Opinion"
"14","2010-08-16T15:51:53+0000","With the global recession exposing chinks in its armor, Denmark is making efforts to find a new balance between job market flexibility and security for workers.","Denmark’s Generous Safety Net in Question",0,"Business Day"
"15","2010-08-16T16:12:32+0000","Denmark has long held the title of the best place on earth to be laid off, thanks to generous unemployment benefits. But the government is changing that.","Why Denmark Is Shrinking Its Social Safety Net",436,"Business Day"
"16","2010-08-17T01:08:37+0000","In June the government cut into its benefits system, the world’s most generous, by limiting unemployment payments to two years instead of four.","Denmark Starts to Trim Its Admired Safety Net",1285,"Business Day"
"17","2010-08-16T15:38:19+0000","Liz Alderman, the International Herald Tribune senior business correspondent, looks at Denmark's generous unemployment benefit system as the country fights long-term joblessness.","Fighting Long-Term Unemployment",0,"Business Day"
"18","2010-08-12T16:48:10+0000","In today's Timescast, reports on the taxpayer financed turnaround at General Motors, the impact of Russian fires and rising unemployment in Denmark.","TimesCast | August 12, 2010",0,"Multimedia/Photos"
"19","2010-07-16T11:25:34+0000","The credit crunch and a growing public debt problem has fueled a discussion about the paradox of Denmark’s high earners receiving many of the same social benefits as the very neediest citizens. ","Cradle-To-Grave System Gets Rocky in Denmark",1139,"Business Day"
"20","2010-05-19T01:59:08+0000","Today, prices in Copenhagen have returned to the pre-stratospheric levels of 2004.","House Hunting in ... Denmark",804,"Great Homes & Destinations"
"21","2010-01-11T22:14:31+0000","Using medical devices and notebook computers, patients can see doctors without leaving home, and have the information logged into electronic records.","Denmark Leads the Way in Digital Care",1293,"Health"
"22","2010-12-30T22:05:50+0000","Photographs from Denmark, Israel and Afghanistan.","Pictures of the Day: Denmark and Elsewhere",6,"Multimedia/Photos"
"23","2010-12-30T21:55:34+0000","Photographs from Denmark, Israel and Afghanistan.","Pictures of the Day: Denmark and Elsewhere",0,"Blogs"
