"","created_time","snippet","headline","wordcount","section"
"1","2009-12-12T09:00:48+0000","Thousands of protesters are expected to descend on Copenhagen Saturday for an afternoon march toward the Bella Center, where climate negotiators are trying to find agreement.","Demonstration Day in Denmark",229,"Business Day"
"2","2009-12-11T13:12:33+0000","The Tivoli amusement park has traditionally made strong efforts at recycling and energy efficiency — and early next year it will be powered by a wind turbine off the Copenhagen coast.","Danish Amusement Park Looks to Wind",280,"Business Day"
"3","2009-12-09T14:24:25+0000","Authorities confiscated paint bombs and other equipment for use during planned protests outside the climate talks.","Danish Police Seize Protest Equipment",313,"Science"
"4","2009-12-02T02:43:01+0000","A big tax break may draw buyers, but it is not certain they can be persuaded to make the switch.","In Denmark, Ambitious Plan for Electric Cars",1181,"Business Day"
"5","2009-11-28T23:50:40+0000","In Copenhagen, the once moderate-to-fresh winds are now more often storms.","Denmark in the Wind",584,"Opinion"
"6","2009-12-27T16:01:00+0000","Copenhagen shows that unilateral action must become the guiding principle of emission cuts.","Acting Alone on Climate Change",696,"Opinion"
"7","2009-12-23T04:21:42+0000","The climate summit may not have solved our problems, but we can’t ignore the issues — or how individual countries, like Denmark, have effectively addressed them.","The Copenhagen That Matters",841,"Opinion"
"8","2009-12-23T14:30:37+0000","The Copenhagen Accord is a serious step forward, if a severely limited one.","The Road From Copenhagen",794,"Opinion"
"9","2009-12-22T20:13:49+0000","European Union leaders on Tuesday sought to deflect criticism that they had fumbled their strategy at the Copenhagen climate summit meeting.","E.U. Blames Others for ‘Great Failure’ on Climate",1081,"World"
"10","2009-12-21T02:46:04+0000","An enormous amount of work lies ahead for all the signatories to what is now being called the Copenhagen Accord.","Copenhagen, and Beyond",609,"Opinion"
"11","2009-12-20T18:07:37+0000","The accord in Copenhagen was “a big step forward” after previous talks offered no financial support mechanisms, Ban Ki-moon, the U.N. secretary general, said.","Copenhagen’s One Real Accomplishment: Getting Some Money Flowing",785,"Business Day"
"12","2009-12-20T19:35:33+0000","Caught off guard by the Copenhagen accord, European leaders felt pressure to back it even though they thought it did not go far enough and had a process in which they had little influence.","An Air of Frustration for Europe at Climate Talks",996,"World"
"13","2009-12-19T10:40:33+0000","The agreement left open the question of whether the accord would gain the full support of the countries involved in the talks on limiting the risks of climate change.","U.N. Climate Talks ‘Take Note’ of Accord Backed by U.S.",1472,"Science"
"14","2009-12-18T17:35:18+0000","Acronyms, measurement standards and matters of who showed up, who got in, and where they set up their offices.","An Alphabet Soup of Causes and Clauses",974,"Science"
"15","2009-12-17T20:07:21+0000","Could a legacy of the Copenhagen climate conference turn out to be higher tariffs?","Danger to Free Trade Seen in Climate Talks",1037,"Science"
